구분,자동차용경유,실내등유
2017년10월09일,719.16,683.78
2017년10월10일,719.59,684.87
2017년10월11일,720.06,685.69
2017년10월12일,720.58,685.86
2017년10월13일,721.07,686.20
2017년10월14일,721.20,687.35
2017년10월15일,721.73,687.91
2017년10월16일,721.97,688.44
2017년10월17일,722.19,689.16
2017년10월18일,722.73,689.45
2017년10월19일,723.16,690.26
2017년10월20일,723.38,690.76
2017년10월21일,723.74,690.77
2017년10월22일,724.17,691.09
2017년10월23일,724.33,691.07
2017년10월24일,724.39,691.27
2017년10월25일,724.26,691.61
2017년10월26일,724.84,691.83
2017년10월27일,724.72,691.98
2017년10월28일,725.03,692.38
2017년10월29일,725.45,692.55
2017년10월30일,725.42,692.54
2017년10월31일,725.48,692.05
2017년11월01일,725.03,692.09
2017년11월02일,726.71,693.21
2017년11월03일,726.71,693.21
2017년11월04일,727.54,693.35
2017년11월05일,727.98,693.63
2017년11월06일,728.35,693.94
2017년11월07일,728.56,693.78
2017년11월08일,729.42,694.40
2017년11월09일,730.24,695.73
2017년11월10일,731.06,695.94
2017년11월11일,732.40,696.36
2017년11월12일,732.81,696.99
2017년11월13일,732.81,696.99
2017년11월14일,733.45,698.39
2017년11월15일,734.54,699.53
2017년11월16일,735.79,701.10
2017년11월17일,736.47,701.86
2017년11월18일,737.21,702.94
2017년11월19일,737.80,703.55
2017년11월20일,737.95,703.74
2017년11월21일,738.29,704.39
2017년11월22일,739.23,705.38
2017년11월23일,739.85,706.16
2017년11월24일,740.78,706.70
2017년11월25일,741.32,707.38
2017년11월26일,742.10,707.63
2017년11월27일,742.49,708.74
2017년11월28일,743.11,709.16
2017년11월29일,743.65,709.96
2017년11월30일,744.28,710.89
2017년12월01일,744.72,711.02
2017년12월02일,746.47,712.72
2017년12월03일,747.54,714.04
2017년12월04일,748.38,714.47
2017년12월05일,748.62,715.57
2017년12월06일,749.44,716.29
2017년12월07일,750.00,717.24
2017년12월08일,750.13,718.22
2017년12월09일,750.48,718.38
2017년12월10일,751.25,718.93
2017년12월11일,751.26,719.83
2017년12월12일,751.41,720.24
2017년12월13일,751.22,719.83
2017년12월14일,751.43,721.69
2017년12월15일,752.21,722.02
2017년12월16일,752.53,722.52
2017년12월17일,752.66,722.68
2017년12월18일,752.67,722.68
2017년12월19일,752.62,722.11
2017년12월20일,753.51,722.51
2017년12월21일,753.76,723.14
2017년12월22일,754.28,723.10
2017년12월23일,754.63,723.70
2017년12월24일,755.04,724.15
2017년12월25일,755.26,724.36
2017년12월26일,755.11,724.04
2017년12월27일,754.88,724.20
2017년12월28일,754.80,724.79
2017년12월29일,755.16,724.93
2017년12월30일,755.29,725.80
2017년12월31일,755.73,726.09
2018년01월01일,755.63,725.79
2018년01월02일,755.54,725.72
2018년01월03일,755.55,725.38
2018년01월04일,755.44,725.20
2018년01월05일,755.21,725.01
2018년01월06일,754.72,724.20
2018년01월07일,754.38,723.37
2018년01월08일,753.64,721.98
2018년01월09일,752.40,719.32
2018년01월10일,747.77,716.14
2018년01월11일,713.20,726.20
2018년01월12일,752.83,721.21
2018년01월13일,754.61,723.12
2018년01월14일,756.05,724.17
2018년01월15일,756.89,724.56
2018년01월16일,757.99,726.02
2018년01월17일,757.99,725.99
2018년01월18일,759.24,726.93
2018년01월19일,760.26,727.27
2018년01월20일,760.81,727.27
2018년01월21일,761.34,728.22
2018년01월22일,761.45,728.03
2018년01월23일,761.66,729.08
2018년01월24일,762.10,729.61
2018년01월25일,762.83,730.57
2018년01월26일,763.67,731.48
2018년01월27일,764.77,733.29
2018년01월28일,765.27,734.17
2018년01월29일,765.76,734.74
2018년01월30일,766.01,734.78
2018년01월31일,766.18,735.36
2018년02월01일,766.18,735.36
2018년02월02일,768.66,736.74
2018년02월03일,769.99,737.74
2018년02월04일,770.63,738.21
2018년02월05일,770.64,738.98
2018년02월06일,771.49,739.99
2018년02월07일,772.16,740.43
2018년02월08일,772.39,741.57
2018년02월09일,773.40,741.70
2018년02월10일,773.92,742.95
2018년02월11일,774.43,743.83
2018년02월12일,774.60,743.72
2018년02월13일,774.82,744.76
2018년02월14일,774.90,745.03
2018년02월15일,775.17,745.41
2018년02월16일,775.23,745.52
2018년02월17일,775.51,745.21
2018년02월18일,775.55,744.62
2018년02월19일,775.12,744.00
2018년02월20일,775.62,743.75
2018년02월21일,775.80,742.91
2018년02월22일,775.58,742.50
2018년02월23일,775.46,742.99
2018년02월24일,775.67,742.31
2018년02월25일,775.61,741.75
2018년02월26일,775.39,740.82
2018년02월27일,775.54,741.52
2018년02월28일,775.96,740.87
2018년03월01일,775.97,740.73
2018년03월02일,775.94,740.36
2018년03월03일,775.96,740.53
2018년03월04일,776.13,740.66
2018년03월05일,776.17,739.98
2018년03월06일,776.27,740.68
2018년03월07일,776.44,740.75
2018년03월08일,776.75,740.22
2018년03월09일,776.86,740.39
